193,Paddington,1.0,true,Bakerloo Line|Circle Line|District Line|Hammersmith & City Line
212,Regent's Park,1.0,false,Bakerloo Line
96,Fulham Broadway,2.0,false,District Line
173,Newbury Park,4.0,false,Central Line
13,Bank,1.0,false,Central Line|Northern Line|Waterloo & City Line|Docklands Light Railway
129,Hornchurch,6.0,false,District Line
41,Canada Water,2.0,false,East London Line|Jubilee Line
134,Ickenham,6.0,false,Metropolitan Line|Piccadilly Line
73,Ealing Common,3.0,false,District Line|Piccadilly Line
128,Holloway Road,2.0,false,Piccadilly Line
237,South Kenton,4.0,false,Bakerloo Line
105,Greenford,4.0,true,Central Line
244,Stepney Green,2.0,false,District Line|Hammersmith & City Line
2,Aldgate,1.0,false,Circle Line|Metropolitan Line
266,Turnpike Lane,3.0,false,Piccadilly Line
205,Putney Bridge,2.0,false,District Line
298,Willesden Junction,3.0,true,Bakerloo Line
166,Monument,1.0,false,Circle Line|District Line
32,Bow Church,2.0,false,Docklands Light Railway
34,Brent Cross,3.0,false,Northern Line
148,Lambeth North,1.0,false,Bakerloo Line
264,Tufnell Park,2.0,false,Northern Line
45,Canons Park,5.0,false,Jubilee Line
161,Mansion House,1.0,false,Circle Line|District Line
279,Waterloo,1.0,true,Bakerloo Line|Jubilee Line|Northern Line|Waterloo & City Line
64,Cutty Sark,2.5,false,Docklands Light Railway
180,Northwood Hills,6.0,false,Metropolitan Line
296,White City,2.0,false,Central Line
17,Barons Court,2.0,false,District Line|Piccadilly Line
149,Lancaster Gate,1.0,false,Central Line
176,Northfields,3.0,false,Piccadilly Line
191,Oval,2.0,false,Northern Line
22,Belsize Park,2.0,false,Northern Line
44,Cannon Street,1.0,false,Circle Line|District Line
286,West Acton,3.0,false,Central Line
291,West Harrow,5.0,false,Metropolitan Line
59,Colliers Wood,3.0,false,Northern Line
118,Heathrow Terminal 4,6.0,false,Piccadilly Line
281,Wembley Central,4.0,true,Bakerloo Line
204,Pudding Mill Lane,2.5,false,Docklands Light Railway
259,Tottenham Court Road,1.0,false,Central Line|Northern Line
27,Blackwall,2.0,false,Docklands Light Railway
71,Dollis Hill,3.0,false,Jubilee Line
12,Balham,3.0,true,Northern Line
54,Clapham Common,2.0,false,Northern Line
144,Kingsbury,4.0,false,Jubilee Line
49,Charing Cross,1.0,true,Bakerloo Line|Northern Line
236,South Kensington,1.0,false,Circle Line|District Line|Piccadilly Line
181,North Acton,2.5,false,Central Line
86,Elverson Road,2.5,false,Docklands Light Railway
159,Maida Vale,2.0,false,Bakerloo Line
187,Oakwood,5.0,false,Piccadilly Line
172,Neasden,3.0,false,Jubilee Line
113,Harlesden,3.0,false,Bakerloo Line
219,Royal Victoria,3.0,false,Docklands Light Railway
274,Walthamstow Central,3.0,true,Victoria Line
81,Edgware,5.0,false,Northern Line
230,Snaresbrook,4.0,false,Central Line
76,East Acton,2.0,false,Central Line
7,Angel,1.0,false,Northern Line
245,Stockwell,2.0,false,Northern Line|Victoria Line
39,Caledonian Road,2.0,false,Piccadilly Line
98,Gants Hill,4.0,false,Central Line
303,Wood Green,3.0,false,Piccadilly Line
271,Uxbridge,6.0,false,Metropolitan Line|Piccadilly Line
208,Queensway,1.0,false,Central Line
103,Grange Hill,5.0,false,Central Line
140,Kenton,4.0,false,Bakerloo Line
213,Richmond,4.0,true,District Line
91,Fairlop,5.0,false,Central Line
66,Dagenham East,5.0,false,District Line
240,South Wimbledon,3.5,false,Northern Line
251,Sudbury Hill,4.0,false,Piccadilly Line
155,Limehouse,2.0,true,Docklands Light Railway
198,Pimlico,1.0,false,Victoria Line
108,Gunnersbury,3.0,false,District Line
130,Hounslow Central,4.0,false,Piccadilly Line
278,Warwick Avenue,2.0,false,Bakerloo Line
223,Russell Square,1.0,false,Piccadilly Line
306,London City Airport,3.0,false,Docklands Light Railway
135,Island Gardens,2.0,false,Docklands Light Railway
299,Wimbledon,3.0,true,District Line
226,Shepherd's Bush (C),2.0,false,Central Line
3,Aldgate East,1.0,false,District Line|Hammersmith & City Line
267,Upminster,6.0,true,District Line
241,South Woodford,4.0,false,Central Line
80,East Putney,2.5,false,District Line
167,Moorgate,1.0,true,Circle Line|Hammersmith & City Line|Metropolitan Line|Northern Line
35,Brixton,2.0,true,Victoria Line
